SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,EPSJB,EPSKCJB,EPSXS,BPS,MGZBGJ,MGWFPLR,MGJYXJJE,TOTALOPERATEREVE,MLR,PARENTNETPROFIT,KCFJCXSYJLR,TOTALOPERATEREVETZ,PARENTNETPROFITTZ,KCFJCXSYJLRTZ,YYZSRGDHBZC,NETPROFITRPHBZC,KFJLRGDHBZC,ROEJQ,ROEKCJQ,ZZCJLL,XSJLL,XSMLL,YSZKYYSR,XSJXLYYSR,JYXJLYYSR,TAXRATE,LD,SD,XJLLB,ZCFZL,QYCS,CQBL,ZZCZZTS,CHZZTS,YSZKZZTS,TOAZZL,CHZZL,YSZKZZL,TOTALDEPOSITS,GROSSLOANS,LTDRR,NEWCAPITALADER,HXYJBCZL,NONPERLOAN,BLDKBBL,NZBJE,TOTAL_ROI,NET_ROI,EARNED_PREMIUM,COMPENSATE_EXPENSE,SURRENDER_RATE_LIFE,SOLVENCY_AR,JZB,JZC,JZBJZC,ZYGPGMJZC,ZYGDSYLZQJZB,YYFXZB,JJYWFXZB,ZQZYYWFXZB,ZQCXYWFXZB,RZRQYWFXZB,EPSJBTZ,BPSTZ,MGZBGJTZ,MGWFPLRTZ,MGJYXJJETZ,ROEJQTZ,ZZCJLLTZ,ZCFZLTZ,REPORT_YEAR,ROIC,ROICTZ,NBV_LIFE,NBV_RATE,NHJZ_CURRENT_AMT,DJD_TOI_YOY,DJD_DPNP_YOY,DJD_DEDUCTDPNP_YOY,DJD_TOI_QOQ,DJD_DPNP_QOQ,DJD_DEDUCTDPNP_QOQ,XSMLL_TB,PER_TOI,PER_OI,PER_EBIT,STAFF_NUM,AVG_TOI,AVG_NET_PROFIT,PREPAID_ACCOUNTS_RATIO,ACCOUNTS_PAYABLE_TR,FIXED_ASSET_TR,CURRENT_ASSET_TR,PREPAID_ACCOUNTS_TDAYS,PAYABLE_TDAYS,OPERATE_CYCLE,GUARD_SPEED_RATIO,CASH_RATIO,INTEREST_COVERAGE_RATIO,CA_TA,NCA_TA,LIQUIDATION_RATIO,INTEREST_DEBT_RATIO,FC_LIABILITIES,FCFF_FORWARD,FCFF_BACK,SS_OI,SS_TA,NCO_OP,NCO_NETPROFIT,NCO_FIXED,FIRST_ADEQUACY_RATIO,NET_INTEREST_SPREAD,NET_INTEREST_MARGIN,LOAN_ADVANCES,NON_PERFORMING_LOAN,OVERDUE_LOANS,LOAN_PROVISION_RATIO,REVENUE_RATIO,LIABILITY,CAPITAL_PROVISIONS_SUM,RISK_COVERAGE,CAPITAL_LEVERAGE_RATIO,LIQUIDITY_COVERAGE_RATIO,NET_FUNDING_RATIO,NET_CAPITAL_LIABILITIES,NET_ASSETS_LIABILITIES,PROPRIETARY_CAPITAL,IS_BZ
000582.SZ,000582,北部湾港,10005523,通用,2026-06-30 00:00:00,中报,2026中报,058001001,2026-08-18 00:00:00,2026-08-18 00:00:00,CNY,0.225,0.183,0.225,8.164936877037,3.617742340523,3.241423594932,0.514730575225,3585508858.34,1131716641.61,557882719.81,455581452.12,0.835925641208,5.085761278345,-3.460384363489,-0.687068789785,-0.579878215151,-3.974145513607,2.77,2.26,1.5924749494,17.7872048743,31.5636269864,,0.627560515623,0.36134908418,18.6594236988,0.744289638681,0.738273425485,0.179778216693,43.5213899327,1.770581816387,0.770581816387,2010.5163215614,3.009202142201,29.125016725926,0.089529240857,59.816519959123,6.180253961529,,,,,,,,,,,,,,,,,,,,,,,,,-2.597402597403,4.0780268395,6.543974613376,2.563014704371,-15.67869095745,-6.1016949153,-3.04269896066,0.107049646457,2026,2.328843515533,-3.029169182366,,,,-2.764904707356,-1.855618218535,-13.044095583953,7.756652640075,43.261231877083,23.005476278312,-0.039669873395,1.424469018354,1.424469018354,0.368173952457,,,,143.188189732609,0.90473152165,0.133874616663,0.66616044527,1.257086917127,198.954049563484,32.134002913291,0.59824832584,0.477907855744,7.723095781181,13.2731130406,86.7268869594,210.357339229121,27.9719271173,47.785388305218,-655934022.394469,-413162553.138663,0.975889164332,0.086584753636,1.652393523924,2.0315113405,0.048791987405,,,,,,,,,17587844896.19,,,,,,,,,0
000582.SZ,000582,北部湾港,10005523,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-28 00:00:00,2026-04-28 00:00:00,CNY,0.094,,0.094,8.110532730677,3.617742340523,3.21772028304,0.299222482024,1725821441.95,526128879.18,229334824.75,204291598.45,5.026992987084,16.933879672808,11.679902970636,1.084907398506,3.19947352082,2.304427548362,1.16,,0.6687129468,15.4301222523,30.4857076399,,0.703161382761,0.43641146602,18.5693419487,0.743247058807,0.737161500899,0.102513876129,43.3316349397,1.764652992787,0.764652992786,2076.69226294554,3.128189706732,30.756623736068,0.043338149617,28.770633637186,2.926198947333,,,,,,,,,,,,,,,,,,,,,,,,,9.302325581395,4.5310372071,10.625443948257,0.125162436439,-31.248167609756,4.5045045045,9.554266976176,-2.69296801514,2026,1.027356530881,8.466984215333,,,,5.026992987084,16.933879672808,11.679902970636,-16.974312232408,-8.012264166084,1.15520782087,2.518116208385,0.685643034893,0.685643034893,0.158952839874,,,,69.080718586949,0.43222206518,0.064267498841,0.317789765461,1.302823737809,208.22629673596,33.884806035783,0.615025075971,0.464703882396,,13.6654164702,86.3345835298,211.090840293115,26.347600384,46.465069913035,-756401291.820098,-712958177.955621,1.049276822348,0.045317532486,2.303962818753,2.828308544047,0.028212543921,,,,,,,,,17315090313.33,,,,,,,,,0
000582.SZ,000582,北部湾港,10005523,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-31 00:00:00,2026-03-31 00:00:00,CNY,0.445,0.398,0.434,8.01420349278,3.406672862785,3.321123044936,1.292644390859,7613959063.58,2304338465.28,1038024485.4,927153527.79,8.720292884815,-14.85179695908,6.023477679443,-0.294689792326,-4.929761651097,-8.046567992214,5.64,5.03,3.1611988893,15.687424875,30.2646553001,,0.677871886657,0.402304533254,17.1628615369,0.717898882772,0.712756474906,0.407167005923,45.9523340113,1.850218657377,0.850218657378,1786.49719702915,2.731727910549,24.499688561248,0.201511651179,131.784720802483,14.694064338819,,,,,,,,,,,,,,,,,,,,,,,,,-23.143350604491,4.5199933634,4.171255644008,6.18803023949,40.81860869715,-24.5989304813,-18.751067540526,3.042303926876,2025,4.677388287172,-16.439422192381,,,,-1.071019788076,-17.756267218363,-28.659484790969,5.008567260978,-3.304794597447,-20.263853896289,-5.618498357143,3.213099242018,3.213099242018,0.730492775791,8640.0,881245.261988426,120141.722847222,514.12806112364,1.993686725622,0.303243949972,1.448822884904,0.700214649271,180.569993958146,27.231357444594,0.572088780619,0.458230033224,9.077539375629,13.6091191079,86.3908808921,198.871407272176,28.8407968238,45.816516854352,1207570117.67082,1484262671.98747,1.017190702103,0.195158185455,2.137312364399,2.564503329645,0.113402138486,,,,,,,,,18236173806.19,,,,,,,,,0
000582.SZ,000582,北部湾港,10005523,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-28 00:00:00,2025-10-28 00:00:00,CNY,0.34,,0.332,7.954461340562,3.39555400955,3.269211451565,0.940134155534,5535299448.28,1733117308.62,788714267.39,725194970.39,12.917103529914,-13.890549242748,22.625819173363,3.615347368564,-2.534208270672,2.906827022645,4.32,,2.4550463656,16.2966172965,31.310271916,,0.690880659396,0.402470406672,17.2730565222,0.859133114826,0.852287495005,0.321723865184,43.753537252,1.777889579439,0.777889579441,1792.26214694573,3.170557870126,38.992230551044,0.150647605017,85.158515018464,6.924456390012,,,,,,,,,,,,,,,,,,,,,,,,,-23.937360178971,3.4978731696,3.83890778295,2.693006551416,39.854993415614,-25.2595155709,-16.080753779688,-1.120508276366,2025,3.583485374791,-15.798714181155,,,,15.554100810544,-9.918655895296,12.669453509463,3.500330666633,-22.980287559661,-12.354193462502,0.705428734621,2.335908777264,2.335908777264,0.551049713718,,,,407.749498209697,1.605811217674,0.229790800353,1.001059453965,0.662171262467,168.139316146447,42.162543410147,0.739954569231,0.587541386872,,15.8207316279,84.1792683721,210.327846287551,28.3898414945,58.749555530117,-315340624.282832,-625612850.85872,1.008212630588,0.148411503057,2.065082682108,2.469656121574,0.08921399188,,,,,,,,,16452763687.51,,,,,,,,,0
000582.SZ,000582,北部湾港,10005523,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-23 00:00:00,2026-08-18 00:00:00,CNY,0.231,0.206,0.227,7.84501505743,3.395539122368,3.160421526488,0.610439497524,3555785138.62,1122780163.06,530883264.32,471911400.43,11.500577461781,-15.695842730665,28.731380928407,3.702612860617,9.399717748758,11.18305855554,2.95,2.62,1.6424497509,16.8041276091,31.5761532064,,0.705392042134,0.406808716705,17.3683705472,0.843088715088,0.835953633196,0.216518752934,43.4748502592,1.769124017514,0.769124017512,1841.60457142523,3.313013014675,37.012188971035,0.097740852077,54.33120823935,4.863262752194,,,,,,,,,,,,,,,,,,,,,,,,,-28.923076923077,3.8003891772,3.838452520359,3.355711881102,35.609232606587,-29.2565947242,-18.274218193583,-3.139016444551,2025,2.401591794045,-18.199002747671,,,,15.953403939577,40.355874238266,51.750718774123,16.39169136493,70.688238552407,57.979377569255,0.799921657624,1.500556582141,1.500556582141,0.365722618565,,,,518.246094056351,1.00471039843,0.146797572351,0.662015664187,0.347325338414,179.156103371952,40.324919013363,0.727708333903,0.571706714634,8.429019638102,15.2742438291,84.7257561709,211.208754839497,28.0061063491,57.167019377932,999492689.542782,676972089.26073,1.005445277643,0.096950521309,2.033125412846,2.420885666709,0.057312526143,,,,,,,,,16031785566.92,,,,,,,,,0
000582.SZ,000582,北部湾港,10005523,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2026-04-28 00:00:00,CNY,0.086,,0.083,7.758970873507,3.270262438192,3.213697940398,0.4352211012,1643217036.75,488641774.0,196123506.2,182926017.14,6.730107188523,-49.868213267151,3.845632597711,1.479551343817,-16.003248996383,0.774649817767,1.11,,0.6103942505,13.3994249576,29.7368979917,,0.733457114152,0.603230957385,20.490919517,0.878646250276,0.870924148754,0.157651632714,44.5308361131,1.802803449569,0.802803449569,1975.68742694791,3.525192362736,40.421843625767,0.045553764615,25.530521667803,2.226518929548,,,,,,,,,,,,,,,,,,,,,,,,,-61.085972850679,-0.7088032757,32.138387918048,-20.585621062627,102.411590929551,-60.777385159,-51.743449865196,-13.808617791826,2025,0.947160592979,-47.112829092085,,,,6.730107188523,-49.868213267151,3.845632597711,-21.79489873378,-35.301772366733,-35.382602867099,-6.485412562293,0.721483365322,0.721483365322,0.152291155184,,,,292.875768029,0.507833519442,0.068253568689,0.309041412039,0.307297529617,177.223433575024,43.947382644044,0.755420872462,0.593573893585,,15.2355749994,84.7644250006,205.753516217077,29.2439458428,59.353311989503,-59655813.321963,-437131529.291945,1.038149308015,0.047045648559,3.71632036542,4.501916756079,0.039737222389,,,,,,,,,16147159580.65,,,,,,,,,0
000582.SZ,000582,北部湾港,10005523,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-25 00:00:00,2026-03-31 00:00:00,CNY,0.579,0.415,0.541,7.667627249953,3.27026187956,3.1275870147,0.917949980346,7003254738.88,2245684662.37,1219079731.96,874479453.12,0.771963211102,8.183471227942,-15.577192203087,0.679122845757,1.999733733229,-2.308036949989,7.48,5.36,3.8907574458,19.220223658,32.0662998292,,0.593388433049,0.29852975398,16.6861452161,0.828511915772,0.82171915373,0.338988555458,44.5956003118,1.804910811466,0.804910811465,1778.38907032936,3.180971514833,29.070311915594,0.202430393892,113.172971943103,12.383768053307,,,,,,,,,,,,,,,,,,,,,,,,,-9.105180533752,1.0715837801,32.136582114962,-18.251422435805,-24.528952565604,-6.9651741294,-0.300539221926,-15.118232149034,2024,5.59760165606,-4.403184225346,,,,2.299982622558,8.559230812114,-6.801671243369,22.655368944997,5.910004039691,25.928835531012,-5.138796962178,3.074902813227,3.074902813227,0.837904632857,8580.0,816230.15604662,142083.884843823,972.817302672624,2.141071741958,0.316341896891,1.62239763651,0.370059207429,168.140092153466,32.251207648664,0.680835058944,0.534397251626,5.207646148477,14.2399058181,85.7600941819,205.099319439947,29.7062689346,53.435668713638,680802813.828377,-778129904.223497,0.904857137412,0.176598002791,1.301312521474,1.553206452187,0.090094139198,,,,,,,,,16002438506.55,,,,,,,,,0
000582.SZ,000582,北部湾港,10005523,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2025-10-28 00:00:00,CNY,0.447,,0.417,7.685627826888,3.270020921876,3.183480123282,0.672220656963,4902091246.8,1524106612.95,915943906.8,591388481.87,0.130901419787,8.059684127572,-19.218279074852,-0.093946838391,3.78329987556,-0.795891586744,5.78,,2.9254866746,20.6249555508,31.0909474389,,0.587904767059,0.312319773919,15.8330954077,0.90258089925,0.894596427397,0.253244795381,44.2493549363,1.793701218806,0.793701218805,1903.52533376084,3.614938820424,35.012727277597,0.141842083849,74.690060720954,7.711481538108,,,,,,,,,,,,,,,,,,,,,,,,,-6.680584551148,2.476135667,28.507721570062,-13.677385790774,-23.813817928059,-9.1194968553,-2.026516599087,-13.180373172404,2024,4.255855881466,-4.703708728835,,,,-0.380384180484,17.955342759295,-3.095688805112,3.857981373975,20.004526803894,18.047205567443,-9.936024150447,2.152347411528,2.152347411528,0.627870389506,,,,562.328825315626,1.536758534872,0.22551382987,1.091767392645,0.480146113528,175.694485420567,38.627580373932,0.776614453891,0.627660465944,,15.2368934568,84.7631065432,206.735192205239,28.7219474929,62.762230120872,-201975468.535069,-2382387387.29024,0.902211809902,0.123497977952,1.279446656326,1.514280955177,0.068337291546,,,,,,,,,15846632841.15,,,,,,,,,0
000582.SZ,000582,北部湾港,10005523,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-24 00:00:00,2025-08-23 00:00:00,CNY,0.325,0.189,0.303,7.557789637994,3.270020921876,3.057810225451,0.450145971473,3189028451.3,998981440.68,629723707.01,366586140.09,0.40772348784,4.090612913901,-26.697170790769,-0.181556423402,-10.042199556597,-7.749766783891,4.17,2.43,2.0097082152,21.7247484753,31.3255731623,,0.616734591709,0.321487426743,15.284107523,0.956862623026,0.950602307411,0.167491874255,44.8837588298,1.814347239159,0.814347239161,1945.78232599364,3.30824304212,36.935053415779,0.092507778283,54.409545401669,4.873419241438,,,,,,,,,,,,,,,,,,,,,,,,,-4.970760233918,2.6175153146,28.506966730231,-13.886379140915,-12.185744627048,-8.9519650655,-6.236301239444,-10.770277450774,2024,2.935895496037,-6.93107144559,,,,-0.761928873708,-35.022962115383,-28.471777829755,7.133531859968,-39.03421271568,8.108011175163,-12.515688026024,1.40019774967,1.40019774967,0.431687574388,,,,454.037440937748,1.070576322561,0.151817033117,0.679928068854,0.396443076651,168.133739002755,40.243445047543,0.848133361132,0.695667476762,4.65268219098,16.4348719141,83.5651280859,204.95714686026,30.3264365081,69.563382642854,314382543.207798,-1987027833.12058,0.904616458653,0.080948903101,1.25506342326,1.479821168513,0.048959355076,,,,,,,,,15995621937.22,,,,,,,,,0
000582.SZ,000582,北部湾港,10005523,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-29 00:00:00,CNY,0.221,,0.2,7.814359308261,2.474876899679,4.046745669235,0.215017874817,1539600287.15,489580694.75,391215871.17,176151863.65,1.691796833838,64.437452358459,-24.676894036435,0.368561584017,13.604509512699,-5.571340490449,2.83,,1.2648940896,27.4882161436,31.7992078097,,0.525097277311,0.247465687068,10.9044197552,0.607923286399,0.601138254894,0.059529589484,51.6650678667,2.068897080981,1.068897080982,1955.84711269755,3.668827687343,38.604318473544,0.046015866688,24.530996729686,2.331345392399,,,,,,,,,,,,,,,,,,,,,,,,,63.703703703704,6.6443614742,-2.728026476149,15.07044882575,123.802931230485,54.6448087432,45.708945743388,5.221479405368,2024,1.790908034443,34.318149440541,,,,1.691796833838,64.437452358459,-24.676894036435,-25.041015030574,40.102523458881,-42.00783152124,-9.583894942601,0.868879549989,0.868879549989,0.315056382981,,,,199.577852136817,0.523370324672,0.073452258965,0.415308618971,0.450951841782,171.962367290128,42.273897330783,0.508010378937,0.37189928176,,11.5770811847,88.4229188153,176.948497963201,36.6064295207,37.186875615495,-540066152.044528,-439055510.24153,0.831405852073,0.038087395437,0.801548626417,0.900260991019,0.018273185928,,,,,,,,,17363480744.51,,,,,,,,,0
