缺失区间开始,缺失区间结束,连续缺失交易日数,前一交易日,下一交易日,质量问题
2016-02-29,2016-09-07,134,2016-02-26,2016-09-08,市场开市但股票无行情；区间内不生成普通次日收益标签
2017-05-04,2017-05-10,5,2017-05-03,2017-05-11,市场开市但股票无行情；区间内不生成普通次日收益标签
2017-10-26,2017-11-01,5,2017-10-25,2017-11-02,市场开市但股票无行情；区间内不生成普通次日收益标签
2018-09-24,2018-09-24,1,2018-09-21,2018-09-25,市场开市但股票无行情；区间内不生成普通次日收益标签
2018-10-01,2018-10-01,1,2018-09-28,2018-10-08,市场开市但股票无行情；区间内不生成普通次日收益标签
2018-12-31,2018-12-31,1,2018-12-28,2019-01-02,市场开市但股票无行情；区间内不生成普通次日收益标签
2019-02-04,2019-02-06,3,2019-02-01,2019-02-11,市场开市但股票无行情；区间内不生成普通次日收益标签

