日期,是否市场开市,是否有行情,是否停牌,是否可交易,复牌首日,距离上次交易日天数,是否生成次日收益标签,数据质量状态
2016-06-23,True,False,,False,False,118,False,市场开市但无行情
2016-06-24,True,False,,False,False,119,False,市场开市但无行情
2016-06-27,True,False,,False,False,122,False,市场开市但无行情
2016-06-28,True,False,,False,False,123,False,市场开市但无行情
2016-06-29,True,False,,False,False,124,False,市场开市但无行情
2016-06-30,True,False,,False,False,125,False,市场开市但无行情
2016-07-01,True,False,,False,False,126,False,市场开市但无行情
2016-07-04,True,False,,False,False,129,False,市场开市但无行情
2016-07-05,True,False,,False,False,130,False,市场开市但无行情
2016-07-06,True,False,,False,False,131,False,市场开市但无行情
2016-07-07,True,False,,False,False,132,False,市场开市但无行情
2016-07-08,True,False,,False,False,133,False,市场开市但无行情
2016-07-11,True,False,,False,False,136,False,市场开市但无行情
2016-07-12,True,False,,False,False,137,False,市场开市但无行情
2016-07-13,True,False,,False,False,138,False,市场开市但无行情
2016-07-14,True,False,,False,False,139,False,市场开市但无行情
2016-07-15,True,False,,False,False,140,False,市场开市但无行情
2016-07-18,True,False,,False,False,143,False,市场开市但无行情
2016-07-19,True,False,,False,False,144,False,市场开市但无行情
2016-07-20,True,False,,False,False,145,False,市场开市但无行情
2016-07-21,True,False,,False,False,146,False,市场开市但无行情
2016-07-22,True,False,,False,False,147,False,市场开市但无行情
2016-07-25,True,False,,False,False,150,False,市场开市但无行情
2016-07-26,True,False,,False,False,151,False,市场开市但无行情
2016-07-27,True,False,,False,False,152,False,市场开市但无行情
2016-07-28,True,False,,False,False,153,False,市场开市但无行情
2016-07-29,True,False,,False,False,154,False,市场开市但无行情
2016-08-01,True,False,,False,False,157,False,市场开市但无行情
2016-08-02,True,False,,False,False,158,False,市场开市但无行情
2016-08-03,True,False,,False,False,159,False,市场开市但无行情
2016-08-04,True,False,,False,False,160,False,市场开市但无行情
2016-08-05,True,False,,False,False,161,False,市场开市但无行情
2016-08-08,True,False,,False,False,164,False,市场开市但无行情
2016-08-09,True,False,,False,False,165,False,市场开市但无行情
2016-08-10,True,False,,False,False,166,False,市场开市但无行情
2016-08-11,True,False,,False,False,167,False,市场开市但无行情
2016-08-12,True,False,,False,False,168,False,市场开市但无行情
2016-08-15,True,False,,False,False,171,False,市场开市但无行情
2016-08-16,True,False,,False,False,172,False,市场开市但无行情
2016-08-17,True,False,,False,False,173,False,市场开市但无行情
2016-08-18,True,False,,False,False,174,False,市场开市但无行情
2016-08-19,True,False,,False,False,175,False,市场开市但无行情
2016-08-22,True,False,,False,False,178,False,市场开市但无行情
2016-08-23,True,False,,False,False,179,False,市场开市但无行情
2016-08-24,True,False,,False,False,180,False,市场开市但无行情
2016-08-25,True,False,,False,False,181,False,市场开市但无行情
2016-08-26,True,False,,False,False,182,False,市场开市但无行情
2016-08-29,True,False,,False,False,185,False,市场开市但无行情
2016-08-30,True,False,,False,False,186,False,市场开市但无行情
2016-08-31,True,False,,False,False,187,False,市场开市但无行情
2016-09-01,True,False,,False,False,188,False,市场开市但无行情
2016-09-02,True,False,,False,False,189,False,市场开市但无行情
2016-09-05,True,False,,False,False,192,False,市场开市但无行情
2016-09-06,True,False,,False,False,193,False,市场开市但无行情
2016-09-07,True,False,,False,False,194,False,市场开市但无行情
2016-09-08,True,True,False,True,True,195,True,复牌首日
2016-09-09,True,True,False,True,False,1,True,正常
2016-09-12,True,True,False,True,False,3,True,正常
2016-09-13,True,True,False,True,False,1,True,正常
2016-09-14,True,True,False,True,False,1,True,正常
2016-09-19,True,True,False,True,False,5,True,正常
2016-09-20,True,True,False,True,False,1,True,正常
2016-09-21,True,True,False,True,False,1,True,正常
2016-09-22,True,True,False,True,False,1,True,正常
2016-09-23,True,True,False,True,False,1,True,正常
2016-09-26,True,True,False,True,False,3,True,正常
2016-09-27,True,True,False,True,False,1,True,正常
2016-09-28,True,True,False,True,False,1,True,正常
2016-09-29,True,True,False,True,False,1,True,正常
2016-09-30,True,True,False,True,False,1,True,正常
2016-10-10,True,True,False,True,False,10,True,正常
2016-10-11,True,True,False,True,False,1,True,正常
2016-10-12,True,True,False,True,False,1,True,正常
2016-10-13,True,True,False,True,False,1,True,正常
2016-10-14,True,True,False,True,False,1,True,正常
2016-10-17,True,True,False,True,False,3,True,正常
2016-10-18,True,True,False,True,False,1,True,正常
2016-10-19,True,True,False,True,False,1,True,正常
2016-10-20,True,True,False,True,False,1,True,正常
2016-10-21,True,True,False,True,False,1,True,正常
2016-10-24,True,True,False,True,False,3,True,正常
2016-10-25,True,True,False,True,False,1,True,正常
2016-10-26,True,True,False,True,False,1,True,正常
2016-10-27,True,True,False,True,False,1,True,正常
2016-10-28,True,True,False,True,False,1,True,正常
2016-10-31,True,True,False,True,False,3,True,正常
2016-11-01,True,True,False,True,False,1,True,正常
2016-11-02,True,True,False,True,False,1,True,正常
2016-11-03,True,True,False,True,False,1,True,正常
2016-11-04,True,True,False,True,False,1,True,正常
2016-11-07,True,True,False,True,False,3,True,正常
2016-11-08,True,True,False,True,False,1,True,正常
2016-11-09,True,True,False,True,False,1,True,正常
2016-11-10,True,True,False,True,False,1,True,正常
2016-11-11,True,True,False,True,False,1,True,正常
2016-11-14,True,True,False,True,False,3,True,正常
2016-11-15,True,True,False,True,False,1,True,正常
