SECUCODE,SECURITY_NAME_ABBR,SECURITY_INNER_CODE,ORG_CODE,SECURITY_CODE,BONUS_IT_RATIO,BONUS_RATIO,IT_RATIO,PRETAX_BONUS_RMB,PLAN_NOTICE_DATE,EQUITY_RECORD_DATE,EX_DIVIDEND_DATE,REPORT_DATE,ASSIGN_PROGRESS,IMPL_PLAN_PROFILE,NOTICE_DATE,MARKET_TYPE,EX_DIVIDEND_DAYS,IS_KCB,BASIC_EPS,BVPS,PER_CAPITAL_RESERVE,PER_UNASSIGN_PROFIT,PNP_YOY_RATIO,TOTAL_SHARES,PUBLISH_DATE,DIVIDENT_RATIO,D10_CLOSE_ADJCHRATE,BD10_CLOSE_ADJCHRATE,D30_CLOSE_ADJCHRATE,代码,名称,报告期,预案公告日,公告日期,股权登记日,除权除息日,送股比例,转股比例,现金分红,每股收益,每股净资产,方案进度,方案说明,事件类型,日期
000582.SZ,北部湾港,1000000524,10005523,000582,1.0,1.0,0.0,1.8,1996-06-06 00:00:00,1996-06-10 00:00:00,1996-06-11 00:00:00,1995-12-31 00:00:00,实施分配,"10送1.00派1.80元(含税,扣税后1.62元)",1996-06-06 00:00:00,069001002001,11026,,,2.9,1.771256187509,5.6936942e-05,84.305881238917,66130000,,0.027272727273,4.45205537,9.09090909,121.69491525,000582,北部湾港,1995-12-31,1996-06-06,1996-06-06,1996-06-10,1996-06-11,1.0,0.0,1.8,,2.9,实施分配,"10送1.00派1.80元(含税,扣税后1.62元)",分红送转,1996-06-11
000582.SZ,北部湾港,1000000524,10005523,000582,10.0,2.0,8.0,,1997-05-15 00:00:00,1997-05-20 00:00:00,1997-05-21 00:00:00,1996-12-31 00:00:00,实施分配,10送2.00转8.00,1997-05-15 00:00:00,069001002001,10682,,,3.06,1.610466597198,0.279541960876,11.71735160037,72743000,,,-16.90914969,5.13464991,-9.96610169,000582,北部湾港,1996-12-31,1997-05-15,1997-05-15,1997-05-20,1997-05-21,2.0,8.0,,,3.06,实施分配,10送2.00转8.00,分红送转,1997-05-21
000582.SZ,北部湾港,1000000524,10005523,000582,0.0,0.0,0.0,2.0,1999-04-19 00:00:00,1999-04-26 00:00:00,1999-04-27 00:00:00,1998-12-31 00:00:00,实施分配,"10派2.00元(含税,扣税后1.60元)",1999-04-19 00:00:00,069001002001,9976,,0.21,1.91,0.392963560205,0.371583596703,19.074207731128,145486000,,0.020703933747,-2.29751183,-2.42424242,15.81291759,000582,北部湾港,1998-12-31,1999-04-19,1999-04-19,1999-04-26,1999-04-27,0.0,0.0,2.0,0.21,1.91,实施分配,"10派2.00元(含税,扣税后1.60元)",分红送转,1999-04-27
000582.SZ,北部湾港,1000000524,10005523,000582,0.0,0.0,0.0,0.5,2001-08-01 00:00:00,2001-08-06 00:00:00,2001-08-07 00:00:00,2000-12-31 00:00:00,实施分配,"10派0.50元(含税,扣税后0.40元)",2001-08-01 00:00:00,069001002001,9143,,0.083,2.825,1.395590991331,0.286563595774,-53.763365908494,188471800,,0.003291639236,0.85144747,-9.20502092,-11.78010471,000582,北部湾港,2000-12-31,2001-08-01,2001-08-01,2001-08-06,2001-08-07,0.0,0.0,0.5,0.083,2.825,实施分配,"10派0.50元(含税,扣税后0.40元)",分红送转,2001-08-07
000582.SZ,北部湾港,1000000524,10005523,000582,,,,0.72,2015-04-04 00:00:00,2015-05-08 00:00:00,2015-05-11 00:00:00,2014-12-31 00:00:00,实施分配,"10派0.72元(含税,扣税后0.648元)",2015-05-04 00:00:00,069001002001,4118,,0.717,4.144050285574,0.882267917854,1.903978492794,2.778870812443,832149558,2015-04-04 00:00:00,0.003044397463,4.77137177,-7.47261346,4.02275498,000582,北部湾港,2014-12-31,2015-04-04,2015-05-04,2015-05-08,2015-05-11,,,0.72,0.717,4.144050285574,实施分配,"10派0.72元(含税,扣税后0.648元)",分红送转,2015-05-11
000582.SZ,北部湾港,1000000524,10005523,582,,,,0.62,2016-03-31 00:00:00,2016-06-03 00:00:00,2016-06-06 00:00:00,2015-12-31 00:00:00,实施分配,"10派0.62元(含税,扣税后0.558元)",2016-05-30 00:00:00,69001002001,3726,,0.442,6.247290826398,2.907506202711,2.010218774421,-34.279922545683,954045720,2016-03-31 00:00:00,0.003785103785,21.93627319,-3.76028202,,582,北部湾港,2015-12-31,2016-03-31,2016-05-30,2016-06-03,2016-06-06,,,0.62,0.442,6.247290826398,实施分配,"10派0.62元(含税,扣税后0.558元)",分红送转,2016-06-06
000582.SZ,北部湾港,1000000524,10005523,582,3.0,0.0,3.0,1.39,2017-03-31 00:00:00,2017-05-19 00:00:00,2017-05-22 00:00:00,2016-12-31 00:00:00,实施分配,"10转3.00派1.39元(含税,扣税后1.251元)",2017-05-16 00:00:00,69001002001,3376,,0.473,6.637271893594,2.878306895156,2.411586454421,14.562601568021,954045720,2017-03-31 00:00:00,0.007791479821,25.21840419,-9.44162437,-9.67226219,582,北部湾港,2016-12-31,2017-03-31,2017-05-16,2017-05-19,2017-05-22,0.0,3.0,1.39,0.473,6.637271893594,实施分配,"10转3.00派1.39元(含税,扣税后1.251元)",分红送转,2017-05-22
000582.SZ,北部湾港,1000000524,10005523,582,,,,1.15,2018-03-13 00:00:00,2018-05-03 00:00:00,2018-05-04 00:00:00,2017-12-31 00:00:00,实施分配,"10派1.15元(含税,扣税后1.035元)",2018-04-26 00:00:00,69001002001,3029,,0.437,5.438583313266,1.983312996274,2.176900596731,19.834320627385,1386564967,2018-03-13 00:00:00,0.012029288703,-9.21757771,1.70212766,-14.24050633,582,北部湾港,2017-12-31,2018-03-13,2018-04-26,2018-05-03,2018-05-04,,,1.15,0.437,5.438583313266,实施分配,"10派1.15元(含税,扣税后1.035元)",分红送转,2018-05-04
000582.SZ,北部湾港,1000000524,10005523,582,,,,1.142101,2019-04-24 00:00:00,2019-06-06 00:00:00,2019-06-10 00:00:00,2018-12-31 00:00:00,实施分配,"10派1.142101元(含税,扣税后1.027891元)",2019-06-03 00:00:00,69001002001,2627,,0.46,5.632170082494,2.475048736448,1.924177013631,8.518244556195,1634616854,2019-04-24 00:00:00,0.013945067155,-18.11320755,-1.5625,3.04506699,582,北部湾港,2018-12-31,2019-04-24,2019-06-03,2019-06-06,2019-06-10,,,1.142101,0.46,5.632170082494,实施分配,"10派1.142101元(含税,扣税后1.027891元)",分红送转,2019-06-10
000582.SZ,北部湾港,1000000524,10005523,582,,,,1.77,2020-04-18 00:00:00,2020-06-15 00:00:00,2020-06-16 00:00:00,2019-12-31 00:00:00,实施分配,"10派1.77元(含税,扣税后1.593元)",2020-06-10 00:00:00,69001002001,2255,,0.6,5.796381617328,2.216746505931,2.405635651032,54.345743445466,1634616854,2020-04-18 00:00:00,0.017524752475,1.14345114,8.36909871,15.31007752,582,北部湾港,2019-12-31,2020-04-18,2020-06-10,2020-06-15,2020-06-16,,,1.77,0.6,5.796381617328,实施分配,"10派1.77元(含税,扣税后1.593元)",分红送转,2020-06-16
000582.SZ,北部湾港,1000000524,10005523,582,,,,1.860864,2021-04-13 00:00:00,2021-05-31 00:00:00,2021-06-01 00:00:00,2020-12-31 00:00:00,实施分配,"10派1.860864元(含税,扣税后1.674778元)",2021-05-26 00:00:00,69001002001,1905,,0.66,6.311341795849,2.251668211724,2.848353125686,9.292700296731,1633434454,2021-04-13 00:00:00,0.021340183486,-8.78243513,-2.35162374,-3.42384888,582,北部湾港,2020-12-31,2021-04-13,2021-05-26,2021-05-31,2021-06-01,,,1.860864,0.66,6.311341795849,实施分配,"10派1.860864元(含税,扣税后1.674778元)",分红送转,2021-06-01
000582.SZ,北部湾港,1000000524,10005523,582,,,,1.84,2022-04-12 00:00:00,2022-05-19 00:00:00,2022-05-20 00:00:00,2021-12-31 00:00:00,实施分配,"10派1.84元(含税,扣税后1.656元)",2022-05-13 00:00:00,69001002001,1552,,0.64,6.73968817776,2.230233704088,3.275640313186,-4.394893951396,1781480361,2022-04-12 00:00:00,0.024052287582,-37.41258741,-3.0418251,4.08432148,582,北部湾港,2021-12-31,2022-04-12,2022-05-13,2022-05-19,2022-05-20,,,1.84,0.64,6.73968817776,实施分配,"10派1.84元(含税,扣税后1.656元)",分红送转,2022-05-20
